seed,offset,ibd_f1,cusum_f1,delta,ibd_positive_fraction,cusum_positive_fraction,ibd_conf_false,cusum_conf_false
5000,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.19111183861510153,0.28322261202756555
5000,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5000,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5001,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5001,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.18370923392705824,0.28322261202756555
5001,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5002,200,0.0,0.0,0.0,0.0,0.0,0.18082507067739662,0.28322261202756555
5002,500,0.4,0.0,0.4,0.08333333333333333,0.0,0.22367002075757267,0.28322261202756555
5002,1000,0.0,0.0,0.0,0.0,0.0,0.1898619535541599,0.28322261202756555
5003,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.18947756042638148,0.28322261202756555
5003,500,0.0,0.0,0.0,0.0,0.0,0.18659339717671986,0.28322261202756555
5003,1000,0.4,0.0,0.4,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5004,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.19399600186476312,0.28322261202756555
5004,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.18370923392705824,0.28322261202756555
5004,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.22275750690718668,0.28322261202756555
5005,200,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5005,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5005,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5006,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5006,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.18534351211577826,0.28322261202756555
5006,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5007,200,0.0,0.0,0.0,0.0,0.0,0.1980436938580557,0.28322261202756555
5007,500,0.0,0.0,0.0,0.0,0.0,0.18534351211577826,0.28322261202756555
5007,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5008,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5008,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5008,1000,0.8,0.0,0.8,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5009,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.24600242913163256,0.28322261202756555
5009,500,0.0,0.0,0.0,0.0,0.0,0.2510020745452834,0.28322261202756555
5009,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5010,200,0.0,0.0,0.0,0.25,0.0,0.8095796005693974,0.28322261202756555
5010,500,0.0,0.0,0.0,0.0,0.0,0.2139534012954944,0.28322261202756555
5010,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.21276254691683158,0.28322261202756555
5011,200,0.4,0.0,0.4,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5011,500,0.4,0.0,0.4,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5011,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5012,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.2186555511603972,0.28322261202756555
5012,500,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5012,1000,0.4,0.0,0.4,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5013,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5013,500,0.0,0.0,0.0,0.0,0.0,0.2423574513286045,0.28322261202756555
5013,1000,0.0,0.0,0.0,0.0,0.0,0.20092785710771732,0.28322261202756555
5014,200,0.0,0.0,0.0,0.0,0.0,0.19274611680382153,0.28322261202756555
5014,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5014,1000,0.0,0.0,0.0,0.0,0.0,0.1898565670425242,0.28322261202756555
5015,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.24468599461511018,0.28322261202756555
5015,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.19563028005348315,0.28322261202756555
5015,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5016,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5016,500,0.4,0.0,0.4,0.08333333333333333,0.0,0.18947756042638148,0.28322261202756555
5016,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.18659339717671988,0.28322261202756555
5017,200,0.4,0.0,0.4,0.08333333333333333,0.0,0.19274073029218583,0.28322261202756555
5017,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5017,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
