nx,tau,confounder,seed,auc_ibd,auc_comparator,delta_auc,positives,channels
10,0,absent,100,0.9603174603174603,1.0,-0.03968253968253965,3,24
10,0,absent,101,0.9047619047619048,0.7301587301587301,0.17460317460317465,3,24
10,0,absent,102,0.9523809523809523,0.6825396825396826,0.26984126984126977,3,24
10,0,absent,103,0.8809523809523809,0.746031746031746,0.13492063492063489,3,24
10,0,absent,104,0.9365079365079365,0.9682539682539683,-0.031746031746031744,3,24
10,0,absent,105,0.9841269841269841,0.9841269841269841,0.0,3,24
10,0,absent,106,0.2222222222222222,0.9841269841269841,-0.7619047619047619,3,24
10,0,absent,107,0.9682539682539683,0.9523809523809523,0.015873015873015928,3,24
10,0,absent,108,1.0,0.9523809523809523,0.04761904761904767,3,24
10,0,absent,109,1.0,0.6666666666666666,0.33333333333333337,3,24
10,0,absent,110,1.0,0.8095238095238095,0.19047619047619047,3,24
10,0,absent,111,0.9523809523809523,0.9523809523809523,0.0,3,24
10,0,absent,112,0.9682539682539683,0.8888888888888888,0.07936507936507942,3,24
10,0,absent,113,1.0,0.6984126984126984,0.3015873015873016,3,24
10,0,absent,114,0.9841269841269841,0.7619047619047619,0.2222222222222222,3,24
10,0,absent,115,0.8095238095238095,0.9682539682539683,-0.15873015873015872,3,24
10,0,absent,116,0.9126984126984127,0.7142857142857143,0.19841269841269837,3,24
10,0,absent,117,1.0,0.8095238095238095,0.19047619047619047,3,24
10,0,absent,118,0.31746031746031744,0.7301587301587301,-0.4126984126984127,3,24
10,0,absent,119,0.9047619047619048,0.6984126984126984,0.2063492063492064,3,24
10,0,absent,120,1.0,0.9047619047619048,0.09523809523809523,3,24
10,0,absent,121,0.9285714285714286,0.7936507936507936,0.134920634920635,3,24
10,0,absent,122,0.47619047619047616,0.7301587301587301,-0.25396825396825395,3,24
10,0,absent,123,0.9682539682539683,0.9206349206349206,0.04761904761904767,3,24
10,0,absent,124,0.8174603174603174,0.7777777777777778,0.03968253968253965,3,24
10,0,absent,125,0.9523809523809523,0.7142857142857143,0.23809523809523803,3,24
10,0,absent,126,0.9523809523809523,0.9047619047619048,0.04761904761904756,3,24
10,0,absent,127,0.9523809523809523,0.6984126984126984,0.25396825396825395,3,24
10,0,absent,128,0.6984126984126984,0.7301587301587301,-0.031746031746031744,3,24
10,0,absent,129,0.873015873015873,0.7301587301587301,0.1428571428571429,3,24
10,0,absent,130,1.0,0.6984126984126984,0.3015873015873016,3,24
10,0,absent,131,0.9126984126984127,0.746031746031746,0.16666666666666663,3,24
10,0,absent,132,0.9206349206349206,0.6984126984126984,0.2222222222222222,3,24
10,0,absent,133,0.9761904761904762,0.746031746031746,0.23015873015873012,3,24
10,0,absent,134,0.9285714285714286,0.6984126984126984,0.23015873015873023,3,24
10,0,absent,135,0.9841269841269841,0.8571428571428571,0.12698412698412698,3,24
10,0,absent,136,0.9285714285714286,0.7619047619047619,0.16666666666666674,3,24
10,0,absent,137,0.9444444444444444,0.9523809523809523,-0.007936507936507908,3,24
10,0,absent,138,0.9603174603174603,0.6984126984126984,0.261904761904762,3,24
10,0,absent,139,0.9841269841269841,0.8412698412698413,0.1428571428571428,3,24
10,0,present,100,0.9841269841269841,0.8253968253968254,0.15873015873015872,3,24
10,0,present,101,0.9206349206349206,0.6666666666666666,0.25396825396825395,3,24
10,0,present,102,0.9523809523809523,0.5873015873015873,0.365079365079365,3,24
10,0,present,103,0.9126984126984127,0.746031746031746,0.16666666666666663,3,24
10,0,present,104,0.9841269841269841,0.7301587301587301,0.25396825396825395,3,24
10,0,present,105,0.9841269841269841,0.7619047619047619,0.2222222222222222,3,24
10,0,present,106,0.19047619047619047,0.6984126984126984,-0.5079365079365079,3,24
10,0,present,107,0.9841269841269841,0.7619047619047619,0.2222222222222222,3,24
10,0,present,108,0.9523809523809523,0.746031746031746,0.20634920634920628,3,24
10,0,present,109,1.0,0.6666666666666666,0.33333333333333337,3,24
10,0,present,110,1.0,0.6349206349206349,0.3650793650793651,3,24
10,0,present,111,0.9523809523809523,0.6666666666666666,0.2857142857142857,3,24
10,0,present,112,0.9682539682539683,0.7619047619047619,0.2063492063492064,3,24
10,0,present,113,1.0,0.7301587301587301,0.2698412698412699,3,24
10,0,present,114,0.9841269841269841,0.6190476190476191,0.365079365079365,3,24
10,0,present,115,0.8095238095238095,0.7936507936507936,0.015873015873015928,3,24
10,0,present,116,0.9126984126984127,0.6984126984126984,0.2142857142857143,3,24
10,0,present,117,1.0,0.7142857142857143,0.2857142857142857,3,24
10,0,present,118,0.3492063492063492,0.6984126984126984,-0.3492063492063492,3,24
10,0,present,119,0.9523809523809523,0.6031746031746031,0.3492063492063492,3,24
10,0,present,120,1.0,0.873015873015873,0.12698412698412698,3,24
10,0,present,121,0.9523809523809523,0.6349206349206349,0.31746031746031744,3,24
10,0,present,122,0.5396825396825397,0.6984126984126984,-0.15873015873015872,3,24
10,0,present,123,0.8888888888888888,0.7619047619047619,0.12698412698412698,3,24
10,0,present,124,0.8492063492063492,0.7301587301587301,0.11904761904761907,3,24
10,0,present,125,1.0,0.8095238095238095,0.19047619047619047,3,24
10,0,present,126,0.9523809523809523,0.7619047619047619,0.19047619047619047,3,24
10,0,present,127,0.9523809523809523,0.6349206349206349,0.31746031746031744,3,24
10,0,present,128,0.6825396825396826,0.6666666666666666,0.015873015873015928,3,24
10,0,present,129,0.9206349206349206,0.6666666666666666,0.25396825396825395,3,24
10,0,present,130,1.0,0.6507936507936508,0.3492063492063492,3,24
10,0,present,131,0.9603174603174603,0.6666666666666666,0.2936507936507937,3,24
10,0,present,132,0.9365079365079365,0.873015873015873,0.06349206349206349,3,24
10,0,present,133,0.9761904761904762,0.6507936507936508,0.32539682539682535,3,24
10,0,present,134,0.9365079365079365,0.6666666666666666,0.2698412698412699,3,24
10,0,present,135,0.9206349206349206,0.6666666666666666,0.25396825396825395,3,24
10,0,present,136,0.9444444444444444,0.6825396825396826,0.26190476190476186,3,24
10,0,present,137,0.8571428571428571,0.8412698412698413,0.015873015873015817,3,24
10,0,present,138,0.9603174603174603,0.6190476190476191,0.3412698412698413,3,24
10,0,present,139,0.9841269841269841,0.7142857142857143,0.26984126984126977,3,24
30,0,absent,100,0.9308943089430894,1.0,-0.06910569105691056,3,44
30,0,absent,101,0.9349593495934959,0.7560975609756098,0.17886178861788615,3,44
